,State,County,ChronicConditionAmount,Beneficiaries,Prevalence,PerCapitaMedicareSpending
5875,MS,DeSoto,6+,3921,19.36,29311.2875
5876,MS,Forrest,0 to 1,2450,25.06,2643.1676
5877,MS,Forrest,2 to 3,2695,27.57,6505.137
5878,MS,Forrest,4 to 5,2429,24.85,11173.7054
5879,MS,Forrest,6+,2202,22.52,31491.6625
5880,MS,Franklin,0 to 1,494,29.81,1766.1408
5881,MS,Franklin,2 to 3,482,29.09,6917.2962
5882,MS,Franklin,4 to 5,397,23.96,14074.3373
5883,MS,Franklin,6+,284,17.14,42472.3735
5884,MS,George,0 to 1,912,28.08,1754.357
5885,MS,George,2 to 3,948,29.19,5540.0453
5886,MS,George,4 to 5,750,23.09,10417.1452
5887,MS,George,6+,638,19.64,28841.537
5888,MS,Greene,0 to 1,550,27.3,2654.1751
5889,MS,Greene,2 to 3,553,27.44,5784.5409
5890,MS,Greene,4 to 5,477,23.67,11540.7491
5891,MS,Greene,6+,435,21.59,34124.3049
5892,MS,Grenada,0 to 1,1125,25.41,2225.5489
5893,MS,Grenada,2 to 3,1340,30.27,5927.2313
5894,MS,Grenada,4 to 5,1132,25.57,12775.7837
5895,MS,Grenada,6+,830,18.75,35089.6866
5896,MS,Hancock,0 to 1,1614,27.39,2086.943
5897,MS,Hancock,2 to 3,1701,28.86,6037.2965
5898,MS,Hancock,4 to 5,1429,24.25,11863.6408
5899,MS,Hancock,6+,1149,19.5,32739.7911
5900,MS,Harrison,0 to 1,8197,30.2,1988.7922
5901,MS,Harrison,2 to 3,7237,26.67,6427.0876
5902,MS,Harrison,4 to 5,6304,23.23,11964.5704
5903,MS,Harrison,6+,5400,19.9,33545.4801
5904,MS,Hinds,0 to 1,8264,32.49,2611.392
5905,MS,Hinds,2 to 3,7708,30.3,7353.6706
5906,MS,Hinds,4 to 5,5463,21.48,13629.3566
5907,MS,Hinds,6+,4001,15.73,37909.5626
5908,MS,Holmes,0 to 1,871,28.83,2232.5535
5909,MS,Holmes,2 to 3,905,29.96,7666.6307
5910,MS,Holmes,4 to 5,721,23.87,16462.6717
5911,MS,Holmes,6+,524,17.35,37055.3433
5912,MS,Humphreys,0 to 1,457,28.6,1947.4885
5913,MS,Humphreys,2 to 3,529,33.1,6394.9562
5914,MS,Humphreys,4 to 5,382,23.9,13552.6528
5915,MS,Humphreys,6+,230,14.39,40480.6497
5916,MS,Issaquena,0 to 1,42,30.66,1303.5705
5917,MS,Issaquena,2 to 3,52,37.96,7730.0142
5918,MS,Issaquena,4 to 5,25,18.25,14752.3804
5919,MS,Issaquena,6+,18,13.14,45632.7944
5920,MS,Itawamba,0 to 1,1264,25.29,1958.4133
5921,MS,Itawamba,2 to 3,1399,27.99,6229.8881
5922,MS,Itawamba,4 to 5,1299,25.99,10605.0609
5923,MS,Itawamba,6+,1037,20.74,26751.9993
5924,MS,Jackson,0 to 1,5399,28.46,1919.0078
5925,MS,Jackson,2 to 3,5152,27.16,5907.0906
5926,MS,Jackson,4 to 5,4552,23.99,11172.3536
5927,MS,Jackson,6+,3869,20.39,28774.4818
5928,MS,Jasper,0 to 1,691,23.9,2303.6173
5929,MS,Jasper,2 to 3,843,29.16,5347.9757
5930,MS,Jasper,4 to 5,757,26.18,10751.216
5931,MS,Jasper,6+,600,20.75,31459.5017
5932,MS,Jefferson,0 to 1,324,25.02,2242.0031
5933,MS,Jefferson,2 to 3,398,30.73,5704.173
5934,MS,Jefferson,4 to 5,317,24.48,11346.7842
5935,MS,Jefferson,6+,256,19.77,37574.6945
5936,MS,Jefferson Davis,0 to 1,493,22.6,2653.4279
5937,MS,Jefferson Davis,2 to 3,599,27.46,6856.5073
5938,MS,Jefferson Davis,4 to 5,569,26.09,10497.9198
5939,MS,Jefferson Davis,6+,520,23.84,30663.67
5940,MS,Jones,0 to 1,2402,22.56,2544.4839
5941,MS,Jones,2 to 3,3031,28.47,6297.9272
5942,MS,Jones,4 to 5,2846,26.74,10735.3072
5943,MS,Jones,6+,2366,22.23,29264.731
5944,MS,Kemper,0 to 1,394,25.63,2381.511
5945,MS,Kemper,2 to 3,471,30.64,6406.192
5946,MS,Kemper,4 to 5,377,24.53,14443.6156
5947,MS,Kemper,6+,295,19.19,40680.5415
5948,MS,Lafayette,0 to 1,2129,31.56,2302.7647
5949,MS,Lafayette,2 to 3,2088,30.95,6115.0037
5950,MS,Lafayette,4 to 5,1488,22.06,10995.6454
5951,MS,Lafayette,6+,1041,15.43,28773.0911
5952,MS,Lamar,0 to 1,1660,24.5,2552.4964
5953,MS,Lamar,2 to 3,1975,29.15,5562.7868
5954,MS,Lamar,4 to 5,1748,25.8,10151.5603
5955,MS,Lamar,6+,1392,20.55,26305.7081
5956,MS,Lauderdale,0 to 1,2959,24.78,2481.2777
5957,MS,Lauderdale,2 to 3,3675,30.78,6117.761
5958,MS,Lauderdale,4 to 5,2934,24.57,12647.7687
5959,MS,Lauderdale,6+,2373,19.87,33962.5951
5960,MS,Lawrence,0 to 1,609,23.24,2915.9466
5961,MS,Lawrence,2 to 3,723,27.6,6964.9561
5962,MS,Lawrence,4 to 5,698,26.64,11865.2048
5963,MS,Lawrence,6+,590,22.52,30912.2697
5964,MS,Leake,0 to 1,1002,30.62,2667.667
5965,MS,Leake,2 to 3,978,29.89,8257.0991
5966,MS,Leake,4 to 5,705,21.55,17376.4271
5967,MS,Leake,6+,587,17.94,38117.9701
5968,MS,Lee,0 to 1,3789,25.37,2045.2013
5969,MS,Lee,2 to 3,4484,30.03,5518.2508
5970,MS,Lee,4 to 5,3860,25.85,10452.5911
5971,MS,Lee,6+,2800,18.75,27736.7569
5972,MS,Leflore,0 to 1,1301,23.6,1867.8804
5973,MS,Leflore,2 to 3,1748,31.71,5486.5133
5974,MS,Leflore,4 to 5,1371,24.87,11038.2683
5975,MS,Leflore,6+,1093,19.83,31926.8923
5976,MS,Lincoln,0 to 1,1460,24.69,2416.6873
5977,MS,Lincoln,2 to 3,1689,28.56,6864.7182
5978,MS,Lincoln,4 to 5,1569,26.53,11272.784
5979,MS,Lincoln,6+,1195,20.21,28258.8334
5980,MS,Lowndes,0 to 1,2572,25.71,2193.154
5981,MS,Lowndes,2 to 3,2925,29.24,5614.3135
5982,MS,Lowndes,4 to 5,2601,26.0,11606.1254
5983,MS,Lowndes,6+,1904,19.04,28244.5515
5984,MS,Madison,0 to 1,4111,33.07,2620.7154
5985,MS,Madison,2 to 3,3817,30.71,6858.606
5986,MS,Madison,4 to 5,2643,21.26,13242.8854
5987,MS,Madison,6+,1860,14.96,33810.7852
5988,MS,Marion,0 to 1,925,21.15,2074.9309
5989,MS,Marion,2 to 3,1197,27.37,5774.1196
5990,MS,Marion,4 to 5,1131,25.86,11079.8625
5991,MS,Marion,6+,1120,25.61,29441.7307
5992,MS,Marshall,0 to 1,1518,27.56,2214.266
5993,MS,Marshall,2 to 3,1546,28.07,5640.2616
5994,MS,Marshall,4 to 5,1316,23.89,10485.2664
5995,MS,Marshall,6+,1128,20.48,33295.8054
5996,MS,Monroe,0 to 1,1893,25.12,2400.089
5997,MS,Monroe,2 to 3,2249,29.85,6456.4803
5998,MS,Monroe,4 to 5,1938,25.72,11814.7419
5999,MS,Monroe,6+,1455,19.31,30591.8567
6000,MS,Montgomery,0 to 1,764,30.57,2320.7075
6001,MS,Montgomery,2 to 3,780,31.21,7970.4525
6002,MS,Montgomery,4 to 5,548,21.93,15164.5885
6003,MS,Montgomery,6+,407,16.29,36717.1957
6004,MS,Neshoba,0 to 1,1314,27.32,2539.036
6005,MS,Neshoba,2 to 3,1450,30.15,7064.7527
6006,MS,Neshoba,4 to 5,1069,22.23,14897.5898
6007,MS,Neshoba,6+,976,20.3,34017.5157
6008,MS,Newton,0 to 1,1049,27.04,2515.7153
6009,MS,Newton,2 to 3,1170,30.16,6510.676
6010,MS,Newton,4 to 5,890,22.94,13045.9352
6011,MS,Newton,6+,770,19.85,34097.6038
6012,MS,Noxubee,0 to 1,560,24.17,2729.6647
6013,MS,Noxubee,2 to 3,686,29.61,6275.7497
6014,MS,Noxubee,4 to 5,634,27.36,12254.5041
6015,MS,Noxubee,6+,437,18.86,34148.863
6016,MS,Oktibbeha,0 to 1,1785,30.61,2381.0889
6017,MS,Oktibbeha,2 to 3,1805,30.95,7292.1588
6018,MS,Oktibbeha,4 to 5,1427,24.47,12495.5402
6019,MS,Oktibbeha,6+,815,13.97,32720.1148
6020,MS,Panola,0 to 1,1571,28.73,1957.0065
6021,MS,Panola,2 to 3,1560,28.52,6484.1728
6022,MS,Panola,4 to 5,1307,23.9,11977.7993
6023,MS,Panola,6+,1031,18.85,34050.0901
6024,MS,Pearl River,0 to 1,2338,25.44,1797.5809
6025,MS,Pearl River,2 to 3,2591,28.2,5908.4422
6026,MS,Pearl River,4 to 5,2243,24.41,10505.6402
6027,MS,Pearl River,6+,2017,21.95,29784.7648
6028,MS,Perry,0 to 1,526,23.36,2102.6959
6029,MS,Perry,2 to 3,646,28.69,10258.4925
6030,MS,Perry,4 to 5,582,25.84,11717.8868
6031,MS,Perry,6+,498,22.11,32402.2478
6032,MS,Pike,0 to 1,1612,25.6,2464.5572
6033,MS,Pike,2 to 3,1794,28.49,6532.6826
6034,MS,Pike,4 to 5,1562,24.81,11983.3547
6035,MS,Pike,6+,1329,21.11,31180.1536
6036,MS,Pontotoc,0 to 1,1474,27.39,2197.6228
6037,MS,Pontotoc,2 to 3,1627,30.23,5752.8338
6038,MS,Pontotoc,4 to 5,1291,23.99,10398.7522
6039,MS,Pontotoc,6+,990,18.39,29485.7339
6040,MS,Prentiss,0 to 1,1020,19.99,2305.3605
6041,MS,Prentiss,2 to 3,1386,27.16,4706.0699
6042,MS,Prentiss,4 to 5,1412,27.67,10225.9298
6043,MS,Prentiss,6+,1285,25.18,27184.464
6044,MS,Quitman,0 to 1,366,25.96,1664.2197
6045,MS,Quitman,2 to 3,379,26.88,6277.1507
6046,MS,Quitman,4 to 5,374,26.52,12305.8859
6047,MS,Quitman,6+,291,20.64,34702.094
6048,MS,Rankin,0 to 1,5958,30.9,2607.0929
6049,MS,Rankin,2 to 3,5899,30.59,6872.8612
6050,MS,Rankin,4 to 5,4313,22.37,12556.6434
6051,MS,Rankin,6+,3113,16.14,32469.651
6052,MS,Scott,0 to 1,1262,31.78,2668.3172
6053,MS,Scott,2 to 3,1125,28.33,8200.9802
6054,MS,Scott,4 to 5,803,20.22,12057.5389
6055,MS,Scott,6+,781,19.67,42124.7302
6056,MS,Sharkey,0 to 1,256,27.65,1400.9243
6057,MS,Sharkey,2 to 3,287,30.99,5589.9176
6058,MS,Sharkey,4 to 5,211,22.79,12392.5158
6059,MS,Sharkey,6+,172,18.57,33805.168
6060,MS,Simpson,0 to 1,1509,33.86,2113.6994
6061,MS,Simpson,2 to 3,1342,30.12,7244.1346
6062,MS,Simpson,4 to 5,905,20.31,13887.8506
6063,MS,Simpson,6+,700,15.71,33482.9287
6064,MS,Smith,0 to 1,781,29.34,3039.2412
6065,MS,Smith,2 to 3,802,30.13,7053.4422
6066,MS,Smith,4 to 5,572,21.49,12399.3768
6067,MS,Smith,6+,507,19.05,33703.2605
6068,MS,Stone,0 to 1,806,30.3,2026.6003
6069,MS,Stone,2 to 3,750,28.2,6439.8116
6070,MS,Stone,4 to 5,581,21.84,11877.4066
6071,MS,Stone,6+,523,19.66,37103.0719
6072,MS,Sunflower,0 to 1,1077,25.61,1974.702
6073,MS,Sunflower,2 to 3,1257,29.89,6160.4335
6074,MS,Sunflower,4 to 5,998,23.73,13452.3122
6075,MS,Sunflower,6+,874,20.78,39739.9079
6076,MS,Tallahatchie,0 to 1,673,28.37,2089.611
6077,MS,Tallahatchie,2 to 3,739,31.16,5720.8408
6078,MS,Tallahatchie,4 to 5,553,23.31,13490.2583
6079,MS,Tallahatchie,6+,407,17.16,38691.033
6080,MS,Tate,0 to 1,1209,28.04,1945.967
6081,MS,Tate,2 to 3,1159,26.88,6248.8159
6082,MS,Tate,4 to 5,1043,24.19,11460.8006
6083,MS,Tate,6+,900,20.88,29492.8125
6084,MS,Tippah,0 to 1,1182,24.46,1781.2939
6085,MS,Tippah,2 to 3,1331,27.54,5209.8195
6086,MS,Tippah,4 to 5,1210,25.04,10584.4989
6087,MS,Tippah,6+,1110,22.97,28514.0698
6088,MS,Tishomingo,0 to 1,1196,25.05,2053.6505
6089,MS,Tishomingo,2 to 3,1265,26.49,5429.3665
6090,MS,Tishomingo,4 to 5,1157,24.23,9076.1599
6091,MS,Tishomingo,6+,1157,24.23,26464.8973
6092,MS,Tunica,0 to 1,453,33.91,3367.087
6093,MS,Tunica,2 to 3,354,26.5,7743.6646
6094,MS,Tunica,4 to 5,298,22.31,13685.5797
6095,MS,Tunica,6+,231,17.29,37787.6946
6096,MS,Union,0 to 1,1484,26.54,2067.7776
6097,MS,Union,2 to 3,1637,29.27,5148.8883
6098,MS,Union,4 to 5,1374,24.57,9349.5816
6099,MS,Union,6+,1097,19.62,28311.0424
6104,MS,Walthall,0 to 1,592,22.76,2018.2976
6105,MS,Walthall,2 to 3,725,27.87,5544.1829
6106,MS,Walthall,4 to 5,667,25.64,11404.918
6107,MS,Walthall,6+,617,23.72,30053.7481
6108,MS,Warren,0 to 1,1928,27.09,2028.2677
6109,MS,Warren,2 to 3,2197,30.87,6429.5305
6110,MS,Warren,4 to 5,1719,24.15,11892.8905
6111,MS,Warren,6+,1273,17.89,36880.7954
6112,MS,Washington,0 to 1,2429,31.84,2127.302
6113,MS,Washington,2 to 3,2424,31.77,6429.1707
6114,MS,Washington,4 to 5,1642,21.52,14273.3936
6115,MS,Washington,6+,1134,14.86,35434.2482
6116,MS,Wayne,0 to 1,968,28.78,2964.5579
6117,MS,Wayne,2 to 3,1014,30.14,7225.035
6118,MS,Wayne,4 to 5,798,23.72,11505.9536
6119,MS,Wayne,6+,584,17.36,30552.4734
6120,MS,Webster,0 to 1,787,30.12,2155.593
6121,MS,Webster,2 to 3,750,28.7,6325.1004
6122,MS,Webster,4 to 5,611,23.38,11494.2445
6123,MS,Webster,6+,465,17.8,32196.2234
6124,MS,Wilkinson,0 to 1,427,26.87,1780.4159
6125,MS,Wilkinson,2 to 3,400,25.17,8244.0472
6126,MS,Wilkinson,4 to 5,432,27.19,10191.0734
6127,MS,Wilkinson,6+,330,20.77,30969.6868
6128,MS,Winston,0 to 1,1065,26.98,2628.6781
6129,MS,Winston,2 to 3,1287,32.6,6792.7945
6130,MS,Winston,4 to 5,931,23.58,12729.9503
6131,MS,Winston,6+,665,16.84,34342.3249
6132,MS,Yalobusha,0 to 1,848,26.38,2272.3595
6133,MS,Yalobusha,2 to 3,926,28.8,5906.1395
6134,MS,Yalobusha,4 to 5,789,24.54,11596.7658
6135,MS,Yalobusha,6+,652,20.28,28571.0592
6136,MS,Yazoo,0 to 1,1272,32.52,2510.0177
6137,MS,Yazoo,2 to 3,1193,30.5,7915.886
6138,MS,Yazoo,4 to 5,813,20.79,14599.2
6139,MS,Yazoo,6+,633,16.19,37098.1476
6144,MO,Adair,0 to 1,1233,31.43,2433.4995
6145,MO,Adair,2 to 3,1205,30.72,5861.1383
6146,MO,Adair,4 to 5,820,20.9,10139.2526
6147,MO,Adair,6+,665,16.95,29401.7268
6148,MO,Andrew,0 to 1,800,27.98,2182.8629
6149,MO,Andrew,2 to 3,873,30.54,5484.7549
6150,MO,Andrew,4 to 5,665,23.26,12134.2612
6151,MO,Andrew,6+,521,18.22,28559.3101
6152,MO,Atchison,0 to 1,474,35.94,2283.1306
6153,MO,Atchison,2 to 3,405,30.71,6844.7744
6154,MO,Atchison,4 to 5,278,21.08,16416.8097
6155,MO,Atchison,6+,162,12.28,33245.1849
6156,MO,Audrain,0 to 1,1179,28.32,2349.4314
6157,MO,Audrain,2 to 3,1223,29.38,5137.5727
6158,MO,Audrain,4 to 5,1035,24.86,9888.214
6159,MO,Audrain,6+,726,17.44,27891.2611
6160,MO,Barry,0 to 1,1605,35.13,1917.3431
6161,MO,Barry,2 to 3,1358,29.72,6492.3674
6162,MO,Barry,4 to 5,915,20.03,11442.8938
6163,MO,Barry,6+,691,15.12,31689.006
6164,MO,Barton,0 to 1,659,31.08,2226.1137
6165,MO,Barton,2 to 3,669,31.56,7139.5589
6166,MO,Barton,4 to 5,445,20.99,11680.5363
6167,MO,Barton,6+,347,16.37,29348.1382
6168,MO,Bates,0 to 1,819,31.48,2059.4941
6169,MO,Bates,2 to 3,730,28.06,7302.2478
6170,MO,Bates,4 to 5,532,20.45,13375.0681
6171,MO,Bates,6+,521,20.02,33929.5746
6172,MO,Benton,0 to 1,1475,32.89,1833.5201
6173,MO,Benton,2 to 3,1234,27.52,5347.8918
6174,MO,Benton,4 to 5,998,22.26,9889.8818
6175,MO,Benton,6+,777,17.33,25786.0377
6176,MO,Bollinger,0 to 1,757,31.53,1544.6996
6177,MO,Bollinger,2 to 3,716,29.82,5927.1338
6178,MO,Bollinger,4 to 5,534,22.24,12585.13
6179,MO,Bollinger,6+,394,16.41,26642.3198
6180,MO,Boone,0 to 1,5985,36.91,2367.9412
6181,MO,Boone,2 to 3,4809,29.65,6191.987
6182,MO,Boone,4 to 5,3104,19.14,12202.7459
6183,MO,Boone,6+,2319,14.3,31254.6668
6184,MO,Buchanan,0 to 1,3637,25.91,2333.536
6185,MO,Buchanan,2 to 3,4143,29.52,5401.5913
6186,MO,Buchanan,4 to 5,3345,23.83,11299.4417
6187,MO,Buchanan,6+,2911,20.74,26361.7532
6188,MO,Butler,0 to 1,2247,27.0,1651.8336
6189,MO,Butler,2 to 3,2348,28.21,5340.9568
6190,MO,Butler,4 to 5,2037,24.47,9477.0403
6191,MO,Butler,6+,1691,20.32,26339.6475
6192,MO,Caldwell,0 to 1,532,36.71,2260.8507
6193,MO,Caldwell,2 to 3,361,24.91,6015.6876
6194,MO,Caldwell,4 to 5,334,23.05,12901.8417
6195,MO,Caldwell,6+,222,15.32,32319.3462
6196,MO,Callaway,0 to 1,2094,33.09,1902.5608
6197,MO,Callaway,2 to 3,1809,28.59,5234.8523
6198,MO,Callaway,4 to 5,1398,22.09,10540.7158
6199,MO,Callaway,6+,1027,16.23,27587.21
6200,MO,Camden,0 to 1,3436,36.21,1847.8798
6201,MO,Camden,2 to 3,2854,30.08,5776.6117
6202,MO,Camden,4 to 5,1970,20.76,10809.1143
6203,MO,Camden,6+,1229,12.95,28584.5965
6204,MO,Cape Girardeau,0 to 1,3829,28.91,2112.0795
6205,MO,Cape Girardeau,2 to 3,4207,31.77,5092.9169
6206,MO,Cape Girardeau,4 to 5,3029,22.87,11000.577
6207,MO,Cape Girardeau,6+,2178,16.45,25947.5603
6208,MO,Carroll,0 to 1,651,36.37,2686.7641
6209,MO,Carroll,2 to 3,525,29.33,8295.2925
6210,MO,Carroll,4 to 5,376,21.01,14895.5673
6211,MO,Carroll,6+,238,13.3,35786.7956
6212,MO,Carter,0 to 1,398,31.0,1616.6094
6213,MO,Carter,2 to 3,369,28.74,5626.4242
6214,MO,Carter,4 to 5,296,23.05,9442.1732
6215,MO,Carter,6+,221,17.21,23966.6584
6216,MO,Cass,0 to 1,3437,32.92,2353.2197
6217,MO,Cass,2 to 3,2922,27.99,6528.9
6218,MO,Cass,4 to 5,2227,21.33,12225.5987
6219,MO,Cass,6+,1855,17.77,33246.3732
6220,MO,Cedar,0 to 1,831,36.95,2410.6164
6221,MO,Cedar,2 to 3,650,28.9,6776.4583
6222,MO,Cedar,4 to 5,444,19.74,12796.9746
6223,MO,Cedar,6+,324,14.41,29897.4925
6224,MO,Chariton,0 to 1,582,36.58,2250.0925
6225,MO,Chariton,2 to 3,437,27.47,5636.9756
6226,MO,Chariton,4 to 5,314,19.74,13206.0796
6227,MO,Chariton,6+,258,16.22,29447.9584
6228,MO,Christian,0 to 1,2661,33.74,1952.184
6229,MO,Christian,2 to 3,2298,29.14,5551.4481
6230,MO,Christian,4 to 5,1678,21.28,10136.3832
6231,MO,Christian,6+,1249,15.84,26163.2883
6232,MO,Clark,0 to 1,434,32.17,1958.8359
6233,MO,Clark,2 to 3,344,25.5,5832.7269
6234,MO,Clark,4 to 5,300,22.24,10591.0036
6235,MO,Clark,6+,271,20.09,28301.7527
6236,MO,Clay,0 to 1,7982,31.76,2104.6945
6237,MO,Clay,2 to 3,7387,29.4,6195.2092
6238,MO,Clay,4 to 5,5592,22.25,11573.7007
6239,MO,Clay,6+,4168,16.59,30534.9324
6240,MO,Clinton,0 to 1,954,32.92,2013.2636
6241,MO,Clinton,2 to 3,838,28.92,6129.1574
6242,MO,Clinton,4 to 5,615,21.22,11980.5369
6243,MO,Clinton,6+,491,16.94,30347.6426
6244,MO,Cole,0 to 1,3317,28.72,2498.5777
6245,MO,Cole,2 to 3,3658,31.67,5933.8653
6246,MO,Cole,4 to 5,2620,22.68,10678.5527
6247,MO,Cole,6+,1956,16.93,25026.8467
6248,MO,Cooper,0 to 1,1069,40.99,2300.1037
6249,MO,Cooper,2 to 3,724,27.76,6812.1847
6250,MO,Cooper,4 to 5,487,18.67,13831.4031
6251,MO,Cooper,6+,328,12.58,26873.941
6252,MO,Crawford,0 to 1,1017,29.87,2179.9171
6253,MO,Crawford,2 to 3,881,25.87,5000.2575
6254,MO,Crawford,4 to 5,725,21.29,10831.2498
6255,MO,Crawford,6+,782,22.97,26334.3654
6256,MO,Dade,0 to 1,379,35.69,1290.0598
6257,MO,Dade,2 to 3,299,28.15,6296.6013
6258,MO,Dade,4 to 5,218,20.53,12280.5155
6259,MO,Dade,6+,166,15.63,24355.7534
6260,MO,Dallas,0 to 1,648,33.4,1864.5044
6261,MO,Dallas,2 to 3,528,27.22,5995.2557
6262,MO,Dallas,4 to 5,406,20.93,10335.4726
6263,MO,Dallas,6+,358,18.45,29917.3699
6264,MO,Daviess,0 to 1,533,35.23,1896.0518
6265,MO,Daviess,2 to 3,461,30.47,6119.6355
6266,MO,Daviess,4 to 5,300,19.83,11167.9011
6267,MO,Daviess,6+,219,14.47,31085.783
6268,MO,DeKalb,0 to 1,561,30.91,2136.5201
6269,MO,DeKalb,2 to 3,503,27.71,5185.6089
6270,MO,DeKalb,4 to 5,433,23.86,10751.2596
6271,MO,DeKalb,6+,318,17.52,30957.7791
6272,MO,Dent,0 to 1,1001,31.66,1622.6301
6273,MO,Dent,2 to 3,912,28.84,5478.9052
6274,MO,Dent,4 to 5,662,20.94,9903.3124
6275,MO,Dent,6+,587,18.56,29422.1263
6276,MO,Douglas,0 to 1,664,39.45,1830.8206
6277,MO,Douglas,2 to 3,456,27.09,5999.3463
6278,MO,Douglas,4 to 5,293,17.41,10556.0908
6279,MO,Douglas,6+,270,16.04,27433.4949
6280,MO,Dunklin,0 to 1,1407,24.34,1592.9355
6281,MO,Dunklin,2 to 3,1514,26.19,5544.3686
6282,MO,Dunklin,4 to 5,1509,26.11,9539.148
6283,MO,Dunklin,6+,1350,23.36,28288.3254
6284,MO,Franklin,0 to 1,2456,27.2,2355.1261
6285,MO,Franklin,2 to 3,2424,26.85,5869.5141
6286,MO,Franklin,4 to 5,2102,23.28,10647.2368
6287,MO,Franklin,6+,2046,22.66,27078.7668
6288,MO,Gasconade,0 to 1,757,31.08,2061.0825
6289,MO,Gasconade,2 to 3,652,26.77,6968.1964
6290,MO,Gasconade,4 to 5,522,21.43,10302.2687
6291,MO,Gasconade,6+,505,20.73,28083.7543
6292,MO,Gentry,0 to 1,451,32.73,2460.9353
6293,MO,Gentry,2 to 3,396,28.74,8699.9276
6294,MO,Gentry,4 to 5,315,22.86,14551.6769
6295,MO,Gentry,6+,216,15.67,33615.5847
6296,MO,Greene,0 to 1,8937,31.44,2186.6249
6297,MO,Greene,2 to 3,8422,29.63,5917.3552
6298,MO,Greene,4 to 5,6237,21.94,11031.4593
6299,MO,Greene,6+,4831,16.99,27974.8624
6300,MO,Grundy,0 to 1,686,31.32,2640.0402
6301,MO,Grundy,2 to 3,636,29.04,6717.9044
6302,MO,Grundy,4 to 5,491,22.42,13471.4767
6303,MO,Grundy,6+,377,17.21,33529.6406
6304,MO,Harrison,0 to 1,573,30.69,2573.891
6305,MO,Harrison,2 to 3,557,29.83,6823.4469
6306,MO,Harrison,4 to 5,445,23.84,12344.3594
6307,MO,Harrison,6+,292,15.64,35164.2211
6308,MO,Henry,0 to 1,1429,34.27,2285.2186
6309,MO,Henry,2 to 3,1126,27.0,6609.689
6310,MO,Henry,4 to 5,864,20.72,12228.2178
6311,MO,Henry,6+,751,18.01,30152.6178
6312,MO,Hickory,0 to 1,645,38.05,1310.6769
6313,MO,Hickory,2 to 3,449,26.49,6164.7163
6314,MO,Hickory,4 to 5,314,18.53,13192.6363
6315,MO,Hickory,6+,287,16.93,27230.9515
6316,MO,Holt,0 to 1,350,33.85,2230.8069
6317,MO,Holt,2 to 3,315,30.46,6453.539
6318,MO,Holt,4 to 5,214,20.7,11092.9546
6319,MO,Holt,6+,155,14.99,27113.7485
6320,MO,Howard,0 to 1,612,40.34,1620.3892
6321,MO,Howard,2 to 3,425,28.02,6082.7488
6322,MO,Howard,4 to 5,267,17.6,10681.8774
6323,MO,Howard,6+,213,14.04,27430.8138
6324,MO,Howell,0 to 1,2563,35.17,2218.8633
6325,MO,Howell,2 to 3,2139,29.35,5384.4905
6326,MO,Howell,4 to 5,1474,20.23,10677.1659
6327,MO,Howell,6+,1112,15.26,26316.5104
6328,MO,Iron,0 to 1,617,27.72,1509.9094
6329,MO,Iron,2 to 3,612,27.49,5054.1231
6330,MO,Iron,4 to 5,505,22.69,10585.1216
6331,MO,Iron,6+,492,22.1,26254.1422
6332,MO,Jackson,0 to 1,19027,30.83,1996.8819
6333,MO,Jackson,2 to 3,17378,28.15,6402.9074
6334,MO,Jackson,4 to 5,13780,22.32,12487.7066
6335,MO,Jackson,6+,11540,18.7,32992.7819
6336,MO,Jasper,0 to 1,3753,24.87,1707.4853
6337,MO,Jasper,2 to 3,4339,28.76,5321.3153
6338,MO,Jasper,4 to 5,3780,25.05,10732.4798
6339,MO,Jasper,6+,3216,21.31,27698.729
6340,MO,Jefferson,0 to 1,5005,26.16,2137.1637
6341,MO,Jefferson,2 to 3,5153,26.93,5757.7876
6342,MO,Jefferson,4 to 5,4509,23.57,9924.1778
6343,MO,Jefferson,6+,4465,23.34,27722.3826
6344,MO,Johnson,0 to 1,1847,33.5,2243.657
6345,MO,Johnson,2 to 3,1628,29.53,6228.9653
6346,MO,Johnson,4 to 5,1166,21.15,11819.2146
6347,MO,Johnson,6+,872,15.82,29601.1224
6348,MO,Knox,0 to 1,266,30.65,2592.2848
6349,MO,Knox,2 to 3,240,27.65,4868.735
6350,MO,Knox,4 to 5,196,22.58,10554.8298
6351,MO,Knox,6+,166,19.12,31134.0053
6352,MO,Laclede,0 to 1,1283,32.27,1473.1738
6353,MO,Laclede,2 to 3,1155,29.05,6048.2644
6354,MO,Laclede,4 to 5,848,21.33,10630.6961
6355,MO,Laclede,6+,690,17.35,29899.4165
6356,MO,Lafayette,0 to 1,1601,34.63,2248.4499
6357,MO,Lafayette,2 to 3,1324,28.64,6760.4939
6358,MO,Lafayette,4 to 5,953,20.61,12838.6429
6359,MO,Lafayette,6+,745,16.12,33809.7239
6360,MO,Lawrence,0 to 1,1629,35.25,2049.8342
6361,MO,Lawrence,2 to 3,1335,28.89,6085.8723
6362,MO,Lawrence,4 to 5,977,21.14,12431.5035
6363,MO,Lawrence,6+,680,14.72,28771.598
6364,MO,Lewis,0 to 1,640,34.21,1688.4654
6365,MO,Lewis,2 to 3,538,28.75,6312.3233
6366,MO,Lewis,4 to 5,380,20.31,12209.7041
6367,MO,Lewis,6+,313,16.73,31898.3557
6368,MO,Lincoln,0 to 1,1492,27.22,2343.8879
6369,MO,Lincoln,2 to 3,1482,27.03,5766.3056
